"TERM"," DEFINITION",
"Air Freight","Property, other than express and passenger baggage transported by air.",
"Airline ID","An identification number assigned by US DOT to identify a unique airline (carrier). A unique airline (carrier) is defined as one holding and reporting under the same DOT certificate regardless of its Code, Name, or holding company/corporation. Use this field for analysis across a range of years.",
"Airport Code","A three character alpha-numeric code issued by the U.S. Department of Transportation which is the official designation of the airport.",
"Carrier Code","Code assigned by IATA and commonly used to identify a carrier. As the same code may have been assigned to different carriers over time, the code is not always unique.",
"Destination State FIPS","The FIPS code for the destination state. (see FIPS)",
"FIPS","Federal Information Processing Standards. Usually referring to a code assigned to any of a variety of geographic entities (e.g. counties, states, metropolitan areas, etc). FIPS codes are intended to simplify the collection, processing, and dissemination of data and resources of the Federal Government.",
"Market (Using T100 Data)","Market data are passenger, freight, and/or mail that enplane and deplane between two specific points, while the flight number remains the same.  If the flight number changes a new market begins. For more details go to <a href="https://ntl.custhelp.com/cgi-bin/ntl.cfg/php/enduser/std_adp.php?p_faqid=398&p_created=1206035104&p_sid=wnxdFf7j&p_accessibility=0&p_redirect=&p_lva=&p_sp=cF9zcmNoPTEmcF9zb3J0X2J5PSZwX2dyaWRzb3J0PSZwX3Jvd19jbnQ9NSw1JnBfcHJvZHM9MCZwX2NhdHM9JnBfcHY9JnBfY3Y9JnBfcGFnZT0xJnBfc2VhcmNoX3RleHQ9bWFya2V0&p_li=&p_topview=1"> Frequently Asked Questions.</a>",
"Mile","A statute mile (5,280 feet). All mileage computations are based on statute miles.",
"Origin State FIPS","The FIPS code for the origin state. (see FIPS)",
"Passenger","Any person on board a flight who is not a member of the flight or cabin crew.",
"Revenue","Pertaining to activities for which remuneration is received by the carrier.",
"Unique Carrier","Unique Carrier Code. It is the Carrier Code most recently used by a carrier. A numeric suffix is used to distinguish duplicate codes, for example, PA, PA (1), PA (2). Use this field to perform analysis of data reported by one and only one carrier.",
"Unique Carrier Entity","Unique Carrier Entity. This field distinguishes entities used by two or more carriers with a numeric suffix, for example, 06038 and 06038 (1).",
"Unique Carrier Name","Unique Carrier Name. It is the name most recently used by a carrier. If two or more carriers have the same most recent name, a numeric suffix is used to distinguish them, for example, Air Caribbean, Air Caribbean (1).",
"World Area Code (WAC)","Numeric codes used to identify geopolitical areas such as countries, states (U.S.), provinces (Canada), and territories or possessions of certain countries. The codes are used within the various data banks maintained by the Office of Airline Information (OAI) and are created by OAI.",
