AIRPORT,TR_AIRPORT_NAME,TR_CITY_NAME,TR_STATE_NAME,TR_COUNTRY_NAME,TR_WAC,BEGIN_DATE_SOURCE,END_DATE,AIRPORT_REGION,LAT_DEGREES,LAT_MINUTES,LAT_SECONDS,LAT_HEMISPHERE,LATITUDE,LON_DEGREES,LON_MINUTES,LON_SECONDS,LON_HEMISPHERE,LONGITUDE,AIRPORT_ID
ZZV,"Zanesville, OH: Zanesville Municipal","Zanesville, OH",Ohio,United States of America,44,1/1/50,,Ohio,39,56,34,N,39.94277777,81,53,33,W,-81.89249999,996800
ZZU,"Mzuzu, Malawi: Mzuzu Airport","Mzuzu, Malawi",,Malawi,542,1/1/50,,Malawi,11,26,34,S,-11.44277777,34,0,46,E,34.01277777,619500
ZYL,"Sylhet, Bangladesh: Savannakhet","Sylhet, Bangladesh",,Bangladesh,703,1/1/50,,Bangladesh,24,57,32,N,24.95888888,91,52,28,E,91.87444444,868210
ZXZ,"Waterville, WA: Waterville Airport","Waterville, WA",Washington,United States of America,93,3/1/90,,Washington,47,39,15,N,47.65416666,120,3,15,W,-120.0541667,966800
ZXY,"Delta, CO: Blake Field","Delta, CO",Colorado,United States of America,82,3/1/90,,Colorado,38,47,0,N,38.78333333,108,3,55,W,-108.0652778,239570
ZXX,"Kennewick, WA: Vista Field","Kennewick, WA",Washington,United States of America,93,3/1/90,,Washington,46,13,6,N,46.21833333,119,12,34,W,-119.2094444,438640
ZXW,"Paradise, CA: Skypark","Paradise, CA",California,United States of America,91,3/1/90,,California,39,42,35,N,39.70972222,121,36,55,W,-121.6152778,681450
ZXV,"Nappanee, IN: Nappanee Municipal","Nappanee, IN",Indiana,United States of America,42,3/1/90,,Indiana,41,26,46,N,41.44611111,85,56,5,W,-85.93472222,625630
ZXU,"North Kingstown, RI: Quonset State","North Kingstown, RI",Rhode Island,United States of America,15,1/1/50,,Rhode Island,41,35,45,N,41.59583333,71,24,20,W,-71.40555555,647200
ZXT,"Cloverdale, CA: Cloverdale Municipal","Cloverdale, CA",California,United States of America,91,3/1/90,,California,38,46,28,N,38.77444444,122,59,28,W,-122.9911111,198900
ZXS,"Elk River, ID: Elk River Municipal","Elk River, ID",Idaho,United States of America,83,3/1/90,,Idaho,46,47,15,N,46.78749999,116,10,0,W,-116.1666667,267600
ZXR,"Carmel Valley, CA: Carmel Valley Airport","Carmel Valley, CA",California,United States of America,91,3/1/90,,California,36,28,55,N,36.48194444,121,43,45,W,-121.7291667,166300
ZXQ,"Santa Ynez, CA: Santa Ynez Airport","Santa Ynez, CA",California,United States of America,91,12/1/85,3/1/93,California,34,36,25,N,34.60694444,120,4,29,W,-120.0747222,813200
ZXP,"Salmon Bay Lake, AK: Salmon Bay Lake Airport","Salmon Bay Lake, AK",Alaska,United States of America,1,3/1/90,,Ak,56,14,14,N,56.23722222,133,11,20,W,-133.1888889,789700
ZXO,"El Capitan, AK: El Capitan Peak","El Capitan, AK",Alaska,United States of America,1,3/1/90,,Alaska,56,11,3,N,56.18416666,133,18,38,W,-133.3105556,265200
ZXN,"Clover Bay, AK: Clover Bay Airport","Clover Bay, AK",Alaska,United States of America,1,3/1/90,,Alaska,55,17,56,N,55.29888888,132,8,42,W,-132.145,198800
ZXM,"Saltery Cove, AK: Saltery Cove Airport","Saltery Cove, AK",Alaska,United States of America,1,3/1/90,,Alaska,55,24,31,N,55.40861111,132,19,45,W,-132.3291667,791200
ZXL,"Reid Cove, AK: Reid Cove Airport","Reid Cove, AK",Alaska,United States of America,1,3/1/90,,Alaska,55,12,0,N,55.2,132,14,18,W,-132.2383333,753700
ZXK,"Lancaster Cove, AK: Lancaster Cove Airport","Lancaster Cove, AK",Alaska,United States of America,1,3/1/90,,Ak,55,13,0,N,55.21666666,132,5,11,W,-132.0863889,483150
ZXJ,"Happy Harbour, AK: Happy Harbour Airport","Happy Harbour, AK",Alaska,United States of America,1,3/1/90,,Ak,55,29,18,N,55.48833333,132,20,0,W,-132.3333333,353350
ZXI,"Coal Bay, AK: Coal Bay Airport","Coal Bay, AK",Alaska,United States of America,1,3/1/90,,Alaska,55,30,2,N,55.50055555,132,29,15,W,-132.4875,200000
ZXH,"Chomondely Sound, AK: Chomondely Sound Airport","Chomondely Sound, AK",Alaska,United States of America,1,3/1/90,,Ak,55,14,21,N,55.23916666,132,6,51,W,-132.1141667,189950
ZXG,"Cabin Creek, AK: Cabin Creek Airport","Cabin Creek, AK",Alaska,United States of America,1,3/1/90,3/1/91,Alaska,55,25,18,N,55.42166666,132,28,46,W,-132.4794444,144800
ZXF,"Illinois Creek, AK: Illinois Creek Airport","Illinois Creek, AK",Alaska,United States of America,1,3/1/90,,Alaska,64,7,0,N,64.11666666,157,21,0,W,-157.35,382700
ZXE,"Sculthorpe, United Kingdom: Sculthorpe Airport","Sculthorpe, United Kingdom",,United Kingdom,493,3/1/90,,United Kingdom,52,50,43,N,52.84527777,0,46,2,E,0.76722222,826030
ZXD,"San Isidro, Dominican Republic: San Isidro Ab","San Isidro, Dominican Republic",,Dominican Republic,224,3/1/90,,Dominican Republic,18,30,12,N,18.50333333,69,45,45,W,-69.7625,799700
ZXC,"Gasquet, CA: Ward Field","Gasquet, CA",California,United States of America,91,3/1/90,,California,41,50,45,N,41.84583333,123,59,0,W,-123.9833333,311700
ZXB,"Albuquerque, NM: Double Eagle Ii","Albuquerque, NM",New Mexico,United States of America,86,12/1/86,,New Mexico,35,8,48,N,35.14666666,106,48,18,W,-106.805,16802
ZXA,"Rota, Spain: Rota Nas","Rota, Spain",,Spain,482,6/1/78,,Spain,36,38,48,N,36.64666666,6,20,46,W,-6.34611111,772796
ZWL,"Wollaston Lake, Canada: Wollaston","Wollaston Lake, Canada",,Canada,921,12/1/75,,Saskatchewan,58,6,0,N,58.1,103,11,0,W,-103.1833333,981600
ZVK,"Savannakhet, Laos: Savannakhet Airport","Savannakhet, Laos",,Laos,744,1/1/50,,Laos,16,33,13,N,16.55361111,104,45,45,E,104.7625,823700
